Source	Target	Type	Citation
ERF	PRL	2	9822660
ERF	UTRN	2	17507653
ERG	ADAMTS1	1	19396168
ERG	CDH5	Unknown	19359602
ERG	CRISP3	Unknown	21814574
ERG	CXCL8	2	19359602;22235125
ERG	CXCR4	1	19396168;23918819
ERG	ENG	1	22235125
ERG	ENG	Unknown	19359602
ERG	EPB41L3	2	20860828
ERG	EPB41L4B	1	20860828
ERG	ERG	1	21536859
ERG	FGF2	2	12137767
ERG	HIST1H4L	Unknown	23185447
ERG	HMOX1	Unknown	10022513
ERG	HPGD	Unknown	21178489
ERG	ICAM1	2	22235125
ERG	ICAM2	Unknown	10574717;19359602
ERG	ILK	2	23027626
ERG	KCNN2	Unknown	23185447
ERG	PIM1	1	22140532
ERG	SOX4	Unknown	24435928
ERG	SPP1	1	21669963
ERG	TDRD1	1	23319146
ERG	TDRD1	2	23555854
ERG	TFF3	Unknown	21170267
ERG	TMPRSS2	Unknown	24418414
ERG	VIM	1	8895512
ERG	VWF	1	22235125
ERG	VWF	Unknown	19359602;9444957
ERG	WNT11	1	21242973
ERG	ZEB1	Unknown	21747944
ESR1	ABCG2	Unknown	10342828
ESR1	AHR	Unknown	10620335
ESR1	AMH	1	13678390
ESR1	AR	1	22391641
ESR1	AVP	Unknown	11089536
ESR1	BCL2	1	19148464
ESR1	BCL2	Unknown	10542244;11261829;9306964
ESR1	BLM	1	17268063
ESR1	BRCA1	Unknown	11782371
ESR1	BTG2	2	19117054
ESR1	CCNA2	1	17681750
ESR1	CCND1	1	12554765;15178330;17681750
ESR1	CCND1	Unknown	12929585;22892083
ESR1	CD24	2	18404683
ESR1	CDH1	Unknown	17893710
ESR1	CDK4	Unknown	22179484
ESR1	CDKN1A	1	11517191;15378598;16628468
ESR1	CDKN1A	2	17681750
ESR1	CDKN1B	2	17681750
ESR1	CEBPB	Unknown	19652226
ESR1	CHAT	Unknown	10037443
ESR1	CRH	2	12161509
ESR1	CRHBP	1	15345745
ESR1	CTNNB1	2	16628468
ESR1	CTSD	Unknown	10037443;19569049
ESR1	CXCL12	Unknown	18563714
ESR1	CYP19A1	1	12839940
ESR1	CYP1A1	2	15837795
ESR1	CYP1B1	Unknown	15126349
ESR1	CYP2C19	2	20675569
ESR1	DCT	1	15892717
ESR1	E2F1	Unknown	10446910;12697671
ESR1	EGFR	Unknown	12421825
ESR1	ESR1	Unknown	16636675
ESR1	ESRRA	Unknown	12960079
ESR1	F12	1	9794469
ESR1	FLT1	Unknown	17242190
ESR1	FOS	Unknown	10037443
ESR1	FOXP1	1	21901488
ESR1	GREB1	1	17666587
ESR1	GREB1	Unknown	21984905
ESR1	HSPB1	1	10960840
ESR1	HTRA2	1	21486948
ESR1	JAK2	Unknown	19876927
ESR1	JUN	1	11477071
ESR1	JUN	Unknown	10037443
ESR1	JUNB	1	11477071
ESR1	KDR	1	16574784
ESR1	KRT19	1	11026574
ESR1	MDM2	Unknown	12897156
ESR1	MICB	Unknown	23527639
ESR1	MMP13	Unknown	19185056
ESR1	MTA3	Unknown	15169784
ESR1	MYC	Unknown	11517191;19569049;22892083
ESR1	NQO1	2	20623181
ESR1	NR5A2	Unknown	16091743
ESR1	NRF1	1	21486948
ESR1	OXT	Unknown	10411324
ESR1	PELP1	Unknown	15087130
ESR1	PGR	1	10894148;12554765
ESR1	PGR	Unknown	10835496
ESR1	PLAC1	1	19652226
ESR1	PLAC1	Unknown	24304549
ESR1	PMAIP1	1	22216287
ESR1	PTMA	2	12149645
ESR1	RARA	1	9626663
ESR1	RET	Unknown	21737465;21947652
ESR1	RUNX2	Unknown	11604227
ESR1	SERPINB9	Unknown	11682627
ESR1	SERPINE1	1	15217907
ESR1	SP1	Unknown	19652226
ESR1	TAC3	1	14592957
ESR1	TERT	1	10805720;16690106;18754863
ESR1	TFF1	1	11517191;18543253
ESR1	TFF1	Unknown	10037443;21984905
ESR1	TGFA	1	11517191
ESR1	TGFA	Unknown	10828826
ESR1	TP53	2	17681750
ESR1	TYMS	Unknown	10875244
ESR1	UGT1A4	1	19546240
ESR1	UGT2B15	1	19487245
ESR1	VEGFA	1	19398483
ESR1	VEGFA	Unknown	10995484;14647449
ESR1	YWHAQ	Unknown	22329840
ESR1	ZEB1	1	22391641
ESR1	ZFHX3	1	21367855
ESR2	AVP	Unknown	11089536
ESR2	BRCA2	2	18765668
ESR2	CD68	Unknown	11517296
ESR2	CDKN1A	1	11517191
ESR2	CHAT	Unknown	10037443
ESR2	CRH	2	12161509
ESR2	CTSD	Unknown	10037443
ESR2	FOS	Unknown	10037443
ESR2	INSR	2	22099628
ESR2	JUN	Unknown	10037443
ESR2	MKNK2	Unknown	11013076
ESR2	OXT	Unknown	10411324
ESR2	PELP1	Unknown	15087130
ESR2	PTPRC	Unknown	11517296
ESR2	SERPINE1	2	15217907
ESR2	TERT	Unknown	12122114
ESR2	TFF1	1	11517191
ESR2	TFF1	Unknown	10037443
ESR2	TGFA	1	11517191
ESR2	VEGFA	Unknown	10995484
ESRRA	AHR	Unknown	10620335
ESRRA	CYP19A1	1	15955695;20351196;23340254
ESRRA	CYP19A1	Unknown	11973645
ESRRA	DAP3	Unknown	19536094
ESRRA	NR2F1	2	15955695
ESRRA	NR2F6	2	15955695
ESRRA	NRIP1	1	16923809
ESRRA	PNRC1	Unknown	10894149
ESRRA	SNAI1	2	15955695
ESRRA	SNAI2	2	15955695
ESRRB	BCAS2	Unknown	24667650
ESRRG	NR0B1	1	16314306
ETS1	ABCB1	1	20392592
ETS1	ANGPT2	1	15003510
ETS1	ANPEP	1	14507917
ETS1	ATXN2	Unknown	22914732
ETS1	BAX	2	17213822
ETS1	BMP4	1	15695386
ETS1	EMSY	Unknown	24582497
ETS1	CA9	2	18381358
ETS1	CASP1	1	16103071
ETS1	CD6	Unknown	19446338
ETS1	CD8A	1	8413295
ETS1	CDKN1A	Unknown	18955504
ETS1	CDKN2A	Unknown	17370299
ETS1	CHUK	1	15469934
ETS1	COL1A1	Unknown	16564026
ETS1	CR1	Unknown	10533284
ETS1	CSF2	Unknown	12475968
ETS1	CSF3R	1	7964503
ETS1	CSNK2A1	Unknown	19027835
ETS1	CSNK2B	Unknown	11389726
ETS1	CTGF	Unknown	16829517
ETS1	CTSB	Unknown	10701774
ETS1	CXCR4	Unknown	21741415
ETS1	DUSP6	Unknown	20097731
ETS1	ECE1	1	11723240;9595399
ETS1	EGR1	1	19074849
ETS1	EGR1	Unknown	9207063
ETS1	ERG	1	7731694
ETS1	F13A1	Unknown	10037697
ETS1	FGFBP1	Unknown	9668098
ETS1	FLI1	1	19829305
ETS1	FLT1	Unknown	10554042
ETS1	FOXD1	Unknown	9867825
ETS1	GP6	1	12377757
ETS1	GRPR	1	15300220
ETS1	HMOX1	Unknown	10022513
ETS1	HPGD	Unknown	10650939
ETS1	IGFBP1	Unknown	21401636
ETS1	IL2	2	7876544
ETS1	IL2RB	1	8413220
ETS1	IL3	Unknown	8704203
ETS1	IL5	1	10212281
ETS1	ITGB3	Unknown	11556732
ETS1	CIP2A	1	24280132
ETS1	LCK	1	7970721
ETS1	MDM2	2	11424091
ETS1	MGAT5	Unknown	10438459
ETS1	MMP1	1	15972796;16278291;17283078
ETS1	MMP1	Unknown	10949659;11556732;21244711
ETS1	MMP10	Unknown	20432469
ETS1	MMP13	1	22270366
ETS1	MMP3	Unknown	10358095;10949659;11556732;12034715
ETS1	MMP9	1	22270366
ETS1	MMP9	Unknown	10949659;11556732
ETS1	MUC4	1	19757157
ETS1	MYB	1	7848925
ETS1	NDRG1	2	18381358
ETS1	NKX3-1	1	20842667
ETS1	PARP1	1	11973649;24448423
ETS1	PARP1	2	10435618
ETS1	PF4	1	12609849
ETS1	PF4	Unknown	23848403
ETS1	PLAU	Unknown	10211993;11556732
ETS1	PRL	1	12200232
ETS1	PRL	Unknown	21401636
ETS1	PTHLH	1	15072578;8063775
ETS1	PTHLH	Unknown	11590145
ETS1	RHOC	1	21732343
ETS1	SLC26A3	1	7935445
ETS1	SPRY2	Unknown	14644509
ETS1	SQSTM1	Unknown	9762895
ETS1	TAF12	Unknown	18567809
ETS1	TBXA2R	1	18698092
ETS1	TBXAS1	2	14586398
ETS1	TERT	2	20842112
ETS1	TFAP2A	1	12843180
ETS1	TGFBR2	1	14976186
ETS1	TGFBR2	Unknown	10508522
ETS1	TMEM158	1	11822868
ETS1	TNC	1	15001984
ETS1	TNC	Unknown	10618716
ETS1	TNFSF14	1	12215452
ETS1	TP53	Unknown	10510472
ETS1	TRA	1	1535773
ETS1	TRA	Unknown	2237431
ETS1	TRB	2	1409722
ETS1	VWF	Unknown	9444957
ETS1	WAS	Unknown	10066431
ETS1	WT1	1	18064385
ETS2	ANGPT2	1	15003510
ETS2	ANPEP	1	14507917
ETS2	APP	Unknown	12890557
ETS2	CD163	Unknown	10725797
ETS2	CDK1	Unknown	7867724
ETS2	CDKN1A	Unknown	11114728
ETS2	CDKN2A	Unknown	17370299
ETS2	CGA	1	15637148
ETS2	CHRNE	1	9677435
ETS2	CSF2	1	12646185
ETS2	CSF3R	1	7964503
ETS2	CXCL8	1	12438253
ETS2	EGR1	Unknown	9207063
ETS2	ERG	1	7731694
ETS2	FLI1	1	19829305
ETS2	ICAM1	1	9572487
ETS2	IL12B	Unknown	10657616
ETS2	IL5	1	10212281;19487701
ETS2	LCK	1	7970721
ETS2	MDM2	1	12750288
ETS2	MMP1	Unknown	21244711
ETS2	MMP2	Unknown	19939245;22108824
ETS2	MMP3	Unknown	10358095
ETS2	MMP9	1	12438253
ETS2	MSR1	1	8114743
ETS2	MYC	Unknown	22108824
ETS2	PDE7A	Unknown	12737631
ETS2	TERT	Unknown	14611815
ETS2	TLR9	Unknown	15294971
ETS2	TNC	Unknown	10618716
ETS2	TP53	Unknown	10510472
ETS2	VWF	Unknown	9444957
ETV1	AR	Unknown	17505060
ETV1	CAT	Unknown	19763505
ETV3	MMP1	Unknown	10913304
ETV3	NFKB1	2	18025162
ETV3	RELA	2	18025162
ETV4	AGTR1	1	8206588
ETV4	BDKRB1	Unknown	10842322
ETV4	BTS1	Unknown	9030974
ETV4	CCND2	1	9339900
ETV4	CCND3	1	17467662
ETV4	EGLN1	Unknown	22075993
ETV4	ERBB2	2	10655108;15235125;16632435;17168666
ETV4	ERBB2	Unknown	7914192
ETV4	ETS1	1	8247540
ETV4	GBA	Unknown	9272862
ETV4	MMP1	Unknown	9794472
ETV4	MMP14	1	15756447;18425363
ETV4	MMP2	Unknown	10506168;15317818
ETV4	MMP7	1	11158322
ETV4	MMP7	Unknown	12851697
ETV4	MUC4	1	15461591
ETV4	PLAUR	Unknown	11234878
ETV4	PTGS2	1	11274170
ETV4	SYN2	Unknown	7592648
ETV4	TERT	1	14678994
ETV4	TGFBR2	Unknown	14976186
ETV4	TIMP2	Unknown	8810321
ETV4	TNF	Unknown	7896795
ETV4	VIM	1	8895512
ETV5	ICAM1	1	9572487
ETV5	MMP2	Unknown	22968857
ETV6	BBC3	1	16828711
ETV6	CDKN1A	1	16828711
ETV6	GAS2	2	20679491
ETV6	IGFBP5	1	17242174
ETV6	MAD2L1	2	20190817
ETV7	ETS1	Unknown	22615925
ETV7	ETS2	Unknown	22615925
ETV7	ETV6	Unknown	22615925
EVX1	GSC	2	22178155
EWSR1	ATF1	Unknown	9569031
EWSR1	CCK	Unknown	17438102
EWSR1	EGR2	Unknown	22327514
EWSR1	MITF	1	12966428
EWSR1	NR0B1	Unknown	18591936
EWSR1	PHLDA1	2	22323082
EWSR1	POU4F1	Unknown	15021903
EWSR1	TERT	1	14678994
EWSR1	TGFBR2	2	10508522
EZH2	ADAMTS1	2	22514714
EZH2	ADRB2	2	17996646
EZH2	ALDH1A1	2	22144423
EZH2	APC	2	22907428
EZH2	AXL	1	23077658
EZH2	BRCA1	Unknown	21406404
EZH2	CCND1	1	20132185;21697275
EZH2	CCNE1	1	20132185
EZH2	CDH1	2	21685935
EZH2	CDKN1A	2	21629038
EZH2	CDKN1A	Unknown	22956625
EZH2	CDKN2A	2	23289480
EZH2	CDKN2B	2	21697275
EZH2	CIITA	2	17911618;21266852
EZH2	CPEB1	Unknown	23788032
EZH2	DACT3	2	22144423
EZH2	FBXO32	2	21546904
EZH2	FBXO32	Unknown	24213577
EZH2	FOXC1	2	21465172
EZH2	HDAC1	2	20132185
EZH2	HOXB13	2	22808286
EZH2	IGFBP1	Unknown	21903722
EZH2	KPNB1	1	24132643
EZH2	MMP2	1	21629038
EZH2	MST1	2	24499724
EZH2	MYC	2	23079660
EZH2	PAX8	Unknown	21289264
EZH2	PCNA	1	21629038
EZH2	PEBP1	2	22505648
EZH2	PIP5K1C	2	21216957
EZH2	POLR3D	Unknown	18852463
EZH2	PRL	Unknown	21903722
EZH2	PTEN	Unknown	22956625
EZH2	RPLP0	1	17676662
EZH2	RUNX3	2	18430739;20631058;22222375
EZH2	SATB1	2	21232178
EZH2	SFRP1	Unknown	21515604
EZH2	SNAI2	2	23836662
EZH2	SSTR1	2	22144423
EZH2	TP53	2	20132185
EZH2	TP53	Unknown	24006445
EZH2	TWIST1	2	23836662
EZH2	VDR	Unknown	23424038
FHL2	CCND1	2	21377781
FHL2	CDKN1A	1	21377781
FHL2	CDKN1B	1	21377781
FHL2	NFKB1	Unknown	18752053
FHL2	RELA	Unknown	18752053
FIGLA	TCF3	Unknown	18499083
FLI1	CCK	Unknown	17438102
FLI1	COL1A2	2	24058639
FLI1	CTGF	Unknown	16829517
FLI1	EP300	Unknown	24058639
FLI1	ERG	1	21536859
FLI1	EYA3	1	22723308
FLI1	FLI1	1	19829305
FLI1	FOXM1	1	23365673
FLI1	GATA1	1	12724402
FLI1	GP6	1	12359731
FLI1	GP9	1	10194443;15466856
FLI1	HDAC1	Unknown	24058639
FLI1	HMOX1	Unknown	10022513
FLI1	ID2	1	12447693
FLI1	IGFBP3	2	15282325
FLI1	IL10	1	20879862
FLI1	ITGA2B	Unknown	15466856
FLI1	MIR708	2	22723308
FLI1	MMP1	2	15972796
FLI1	MPL	1	15466856
FLI1	PF4	Unknown	23848403
FLI1	PHLDA1	2	22323082
FLI1	TERT	1	14678994
FLI1	TERT	Unknown	14611815
FLI1	TGFBR2	1	10508522
FLI1	TGFBR2	2	10508522
FOS	ACTA1	Unknown	1460048
FOS	BATF3	Unknown	12087103
FOS	BCL2L1	Unknown	16911523
FOS	CASP9	1	20188076
FOS	CCK	1	1360635
FOS	CCK	Unknown	7693011
FOS	CCND1	2	20188076;21474819
FOS	CD40LG	Unknown	11160303
FOS	CLU	2	10406964
FOS	CREM	1	21757709
FOS	CRP	Unknown	18292576
FOS	CSTA	Unknown	9651321
FOS	CXCL8	Unknown	12218154
FOS	CYP1A2	Unknown	12135113
FOS	DDIT3	1	20188076
FOS	ERCC4	1	20976523
FOS	EZR	1	19164283
FOS	FAS	1	10903433
FOS	FGFBP1	Unknown	10753873
FOS	VEGFD	Unknown	19136250
FOS	FMO4	1	20188076
FOS	FOS	2	2498646
FOS	FOXA1	Unknown	22577344
FOS	GSTP1	Unknown	8206948
FOS	HSPH1	1	20188076
FOS	IL1A	Unknown	8688489
FOS	LRIG2	Unknown	22721266
FOS	MELTF	Unknown	8836133
FOS	MMP1	1	19028685
FOS	MMP1	Unknown	9334186
FOS	MMP3	Unknown	9334186
FOS	MMP7	Unknown	11774399
FOS	MMP9	1	18809380;21238464
FOS	MMP9	2	21474819
FOS	MMP9	Unknown	10935492;11774399
FOS	MYC	2	2498162
FOS	NEFL	1	8180132
FOS	NFKB1	2	20188076
FOS	NGF	Unknown	2111020
FOS	NOS2	1	12788789
FOS	NOS2	2	9776360
FOS	NPPA	Unknown	1530876
FOS	NPY	Unknown	8036020
FOS	NQO1	Unknown	8004128
FOS	NTF3	Unknown	7733919
FOS	NTS	Unknown	7791794
FOS	OXTR	Unknown	10218980
FOS	PCK2	Unknown	1325459
FOS	PDHA1	Unknown	8476854
FOS	PGR	Unknown	14684847
FOS	PLAU	Unknown	11774399
FOS	PLAUR	Unknown	10471035
FOS	PTGS2	1	9620167
FOS	PTGS2	Unknown	11278336;12057991;17556653
FOS	SLC10A2	2	12454857
FOS	SMAD4	Unknown	11854297
FOS	SMAD7	1	15579469
FOS	SOX7	1	22171135
FOS	SPI1	2	9988737
FOS	SPRR3	Unknown	9889002
FOS	SRR	1	15681805
FOS	STAR	Unknown	19150388
FOS	TP53	Unknown	10348347
FOSB	CXCL8	1	20826776
FOSB	TGFB1	Unknown	10843986
FOSB	TIMP1	2	11337499
FOSB	TIMP1	Unknown	10051488
FOSL1	CLU	Unknown	10406964
FOSL1	EZH2	Unknown	23116973
FOSL1	GCLC	Unknown	16054171
FOSL1	ITGAV	2	23319049
FOSL1	ITGB3	2	23319049
FOSL1	IVL	Unknown	10816578;15790882
FOSL1	MMP1	Unknown	18802113
FOSL1	PLAUR	Unknown	10471035;11234878
FOSL1	SFTPD	Unknown	10915785
FOSL2	BCL6	1	22493372
FOSL2	BRCA1	1	17434164
FOSL2	CCR4	1	22493372
FOSL2	CLU	Unknown	10406964
FOSL2	FOSL1	1	13679379
FOSL2	IBSP	Unknown	23485603
FOSL2	IL5	Unknown	10491186
FOSL2	IVL	Unknown	10816578
FOSL2	MDM2	1	22493372
FOSL2	MYB	1	22493372
FOSL2	NOS2	1	12788789
FOSL2	PLAUR	Unknown	11234878
FOSL2	TGFB1	Unknown	10843986
FOSL2	TIMP1	2	11337499
FOSL2	UGT2B15	1	19487245
FOXA1	ABCA1	2	24807696
FOXA1	AGR2	Unknown	16222343
FOXA1	APOB	1	8441395
FOXA1	BCL2	2	19127412
FOXA1	BRCA1	Unknown	16331276
FOXA1	CCNG2	Unknown	22596188
FOXA1	CFTR	2	24440874
FOXA1	ESR1	Unknown	20501593;24290378
FOXA1	GCG	Unknown	15828872;21824252
FOXA1	HSPA1A	1	19486887
FOXA1	KRT7	1	20043065
FOXA1	MYC	Unknown	24512546
FOXA1	NF1	1	8495744
FOXA1	NKX2-1	Unknown	23358112
FOXA1	RET	Unknown	21947652
FOXA1	RPRM	2	19917725
FOXA1	SERPINC1	2	8910619
FOXA1	SFTPB	1	18003659
FOXA1	TFF1	Unknown	10073575
FOXA1	UGT2B15	Unknown	20736324
FOXA1	UGT2B17	1	20628005
FOXA2	ABCA1	2	24807696
FOXA2	AGR2	Unknown	16222343
FOXA2	APOA1	Unknown	7961760
FOXA2	CDH1	1	20160041
FOXA2	CFTR	2	24440874
FOXA2	COL18A1	Unknown	11093745
FOXA2	GCG	Unknown	15828872
FOXA2	GFER	Unknown	20382118
FOXA2	MMP7	1	22268124
FOXA2	NKX2-1	Unknown	23358112
FOXA2	NR5A2	1	11595170
FOXA2	PAX6	2	22911885
FOXA2	SERPINC1	2	8910619
FOXA2	SLCO1B3	Unknown	16741617
FOXA2	SOX14	1	20074681
FOXA2	TCF7L2	Unknown	22951069
FOXA2	TFF1	Unknown	10073575
FOXA2	TPO	1	8602863
FOXA3	CYP3A4	Unknown	19706729
FOXA3	CYP3A7	Unknown	19706729
FOXC1	FGF19	1	17000708
FOXC1	FOXO1	Unknown	17993506;21837767
FOXC2	ANGPT2	Unknown	20213583
FOXD3	CAPN6	Unknown	21255642
FOXD3	CYFIP2	1	23058321
FOXD3	MITF	2	21519923
FOXD3	NDRG1	1	24269992
FOXD3	RARB	1	23058321
FOXD3	RND3	Unknown	21478267
FOXD3	SPP1	1	11891324
FOXD3	ZNF175	Unknown	19034670
FOXE1	MSX1	1	21177256
FOXE1	TPO	Unknown	10329730;20094846
FOXF1	CDH1	Unknown	24186199
FOXF1	GH2	1	16772323
FOXF2	BAMBI	1	19562724
FOXF2	CXCL12	1	19562724
FOXF2	ITGB1	2	19562724
FOXF2	MT1E	2	19562724
FOXF2	MT1F	2	19562724
FOXF2	PDGFA	2	19562724
FOXF2	PSG7	2	19562724
FOXF2	WASF2	1	19562724
FOXG1	CDKN1A	2	19755996
FOXH1	AR	2	16120611
FOXH1	CTCF	Unknown	19956589
FOXI1	CFTR	2	20972246
FOXI1	SLC26A4	Unknown	19648736
FOXJ1	ASPM	Unknown	16809635
FOXK2	IL2	Unknown	16624804
FOXK2	SIN3A	Unknown	24748658
FOXL1	BMP4	1	17873379
FOXL2	CCND2	2	21862621
FOXL2	CYP11A1	2	21862621
FOXL2	CYP19A1	2	21862621
FOXL2	SIRT1	1	19010791
FOXL2	STAR	2	21862621
FOXM1	APOE	Unknown	11229886
FOXM1	AR	1	24583551
FOXM1	BRIP1	Unknown	23108394
FOXM1	BTG2	1	19615363
FOXM1	CCNB1	1	19276163
FOXM1	CDC25A	Unknown	23240008
FOXM1	CDC25B	1	19276163
FOXM1	CDC6	1	24583551
FOXM1	CDH1	Unknown	21311221
FOXM1	CDKN2A	2	22461910
FOXM1	CYP3A4	Unknown	15100175
FOXM1	FGB	2	15737987
FOXM1	KRT15	Unknown	22761689
FOXM1	MYC	1	23804320
FOXM1	SFTPB	1	12161428
FOXM1	VEGFA	Unknown	21860419
FOXM1	VEGFB	Unknown	21860419
FOXN1	DSG4	2	19683850
FOXN4	PANK2	Unknown	20603201
FOXO1	ADIPOR1	1	20125105
FOXO1	ANGPT2	Unknown	20213583
FOXO1	AR	2	19074551
FOXO1	CDKN1B	1	21418583
FOXO1	CXCR4	1	20068066
FOXO1	EDN1	Unknown	19887561
FOXO1	EGR1	2	22865884
FOXO1	FABP4	1	20102700
FOXO1	FSHB	2	24065703
FOXO1	HYOU1	Unknown	21296878
FOXO1	IGFBP1	1	15200677
FOXO1	IGFBP1	2	15987820
FOXO1	IGFBP1	Unknown	21401636;23603247
FOXO1	IL6	1	21185807
FOXO1	IRS2	Unknown	20685959
FOXO1	KLF2	Unknown	23002242
FOXO1	LHB	Unknown	22865884
FOXO1	NEUROG3	Unknown	20033803
FOXO1	NKX6-1	Unknown	20033803
FOXO1	NLK	Unknown	23144700
FOXO1	PDGFA	Unknown	19244250
FOXO1	PDGFB	Unknown	19244250
FOXO1	PRL	Unknown	21401636
FOXO1	RAG1	Unknown	21655267
FOXO1	TNFSF10	1	23630076
FOXO1	TXNIP	2	23803610
FOXO3	AR	1	16061480
FOXO3	AR	Unknown	17522055
FOXO3	BBC3	Unknown	21654193
FOXO3	BCL2L11	Unknown	21654193
FOXO3	BCL6	1	15509806
FOXO3	BIRC5	Unknown	22056878
FOXO3	CCND2	2	15509806
FOXO3	CDKN2B	Unknown	19419955
FOXO3	FASLG	1	11756562
FOXO3	FOXM1	2	19276163
FOXO3	GALT	1	17975019
FOXO3	MYOCD	2	18772130
FOXO3	PIK3CA	Unknown	19299143
FOXO3	SIRT1	1	23525956
FOXO3	SIRT6	1	20816089
FOXO3	TNFSF10	1	23630076
FOXO3	TXNIP	1	20656682
FOXO3	VEGFA	Unknown	21860419
FOXO3	VEGFB	Unknown	21860419
FOXO4	BCL6	1	11777915
FOXO4	CREB1	1	20136501
FOXO4	HIF1A	2	12761217;20136501
FOXO4	PSMD11	Unknown	22972301
FOXO4	SOD2	1	21536589
FOXO4	TNFSF10	1	23630076
FOXP1	HIP1R	Unknown	23884370
FOXP1	KLK3	2	18640093
FOXP1	RAG1	Unknown	21655267
FOXP2	CNTNAP2	2	18987364
FOXP2	CNTNAP2	Unknown	19582487
FOXP2	MET	2	21832174
FOXP2	NKX2-1	2	18239190
FOXP2	PLAUR	1	20858596
FOXP2	PLAUR	Unknown	21711233
FOXP2	SRPX	1	20858596
FOXP2	SRPX2	Unknown	20858596;21711233
FOXP3	BRCA1	2	23319807
FOXP3	CCR4	1	21036387
FOXP3	CDKN1A	Unknown	19276356
FOXP3	ERBB2	Unknown	17570480
FOXP3	IL10	Unknown	24315995
FOXP3	IL2	2	18324310
FOXP3	IL2RA	1	21036387
FOXP3	SATB1	Unknown	21743493
FOXP3	TLR10	Unknown	17641056
FOXP3	USP21	1	23395819
FOXP3	ZNF205	Unknown	22306510
FOXQ1	BCL11A	1	20145154
FOXQ1	CDH1	Unknown	23403865
FOXQ1	RSPO2	1	20145154
FOXQ1	TWIST1	1	23723077
FOXQ1	VEGFA	1	20145154
FOXQ1	WNT3A	1	20145154
FUBP1	CDKN1A	Unknown	24117486
FUBP1	MYC	Unknown	11239393;18193062;24117486
FUBP3	FGF9	Unknown	21252297
FUS	AR	Unknown	21909421
FUS	DDIT3	1	11162437
FUS	KLK3	Unknown	21909421
FUS	MDM2	2	17234782
GABPA	ERBB2	Unknown	7914192
GABPA	OXTR	Unknown	10218980
GABPA	RPS3A	Unknown	12463423
GABPA	TOMM70	1	17167546
GABPA	ZNF205	Unknown	22306510
GABPB1	OXTR	Unknown	10218980
GABPB2	RPS3A	Unknown	12463423
GATA1	AGGF1	1	19556247
GATA1	ALAS2	Unknown	23935018
GATA1	BACE1	Unknown	12815710
GATA1	BACH1	1	16492768
GATA1	BDKRB1	Unknown	10842322
GATA1	BST2	1	16249385
GATA1	CBFB	2	19825991
GATA1	CCR3	Unknown	22217447
GATA1	CDA	1	14744791
GATA1	CDC6	1	22871742
GATA1	CEBPA	2	19825991
GATA1	COPS5	Unknown	21689417
GATA1	CYBB	1	10734088
GATA1	DACH1	2	22902925
GATA1	DICER1	1	23426981
GATA1	DPYSL2	Unknown	15207709
GATA1	EPO	1	16471262
GATA1	EPO	2	8677751
GATA1	EPOR	1	16471262
GATA1	EPOR	Unknown	23577103;7659529;8513868
GATA1	F13A1	Unknown	10037697
GATA1	FCER1A	1	11971001
GATA1	FCER1A	Unknown	24639354
GATA1	FLI1	Unknown	10523830
GATA1	FURIN	Unknown	12411321
GATA1	GATA1	1	16492768
GATA1	GATA1	Unknown	17628529;20542454
GATA1	GFI1B	Unknown	19965638;20564185
GATA1	GNAS	Unknown	11418466
GATA1	GP1BB	1	8703016
GATA1	GP1BB	Unknown	11418466
GATA1	GP6	1	12377757
GATA1	GP9	1	15466856
GATA1	GP9	Unknown	11418466;20564185
GATA1	GYPB	1	1396593
GATA1	HBA1	Unknown	12609092;20564185
GATA1	HBA2	Unknown	12609092;20564185
GATA1	HBB	Unknown	15833715;20564185
GATA1	HBE1	Unknown	8423810
GATA1	HBG1	Unknown	12609092;16200778;2336386
GATA1	HEMGN	2	18599389
GATA1	HEMGN	Unknown	20564185
GATA1	PBXIP1	Unknown	22187427
GATA1	IFNG	Unknown	12836278
GATA1	IL1RL1	Unknown	22865859
GATA1	ITGA2B	Unknown	8408012
GATA1	KLF1	Unknown	18487511;20564185
GATA1	LTBP4	Unknown	23741501
GATA1	MPL	1	15466856
GATA1	MUC1	Unknown	17078870
GATA1	NFE2	Unknown	20564185
GATA1	PBXIP1	Unknown	22187427
GATA1	PF4	1	12609849
GATA1	PPOX	Unknown	18191920
GATA1	PRG2	1	10438731;12202480
GATA1	PTGFR	2	14746914
GATA1	RUNX1	Unknown	16628190
GATA1	SEMG1	Unknown	18602691
GATA1	SMAD1	Unknown	22036566
GATA1	SPI1	2	10753833
GATA1	ST2	Unknown	22865859
GATA1	TAL1	Unknown	8058326
GATA1	TBXA2R	1	18698092
GATA1	WT1	1	19212333
GATA1	WT1	Unknown	10360378
GATA1	ZNF268	2	22235304
GATA2	ADH1A	1	16153155
GATA2	ANGPT2	Unknown	22792348
GATA2	AR	1	24423874
GATA2	CYBB	2	10734088
GATA2	DPYSL2	Unknown	15207709
GATA2	EPO	2	8677751
GATA2	ERVW-1	1	15888734
GATA2	FCER1A	1	24639354
GATA2	GATA1	1	23071749
GATA2	GATA1	Unknown	19279013
GATA2	IL1RL1	Unknown	22865859
GATA2	MS4A2	1	24639354
GATA2	NOS3	1	10713142
GATA2	PECAM1	Unknown	9028949
GATA2	PPARG	2	19772889
GATA2	PRG2	2	10438731;9558404
GATA2	SPI1	2	19620289
GATA2	ST2	Unknown	22865859
GATA2	TSHB	Unknown	17244762
